fecha,mesa_principal,total_invitados,columna,fila,personas,adultos,ninos,nombre_mesa,color,pantalla,mesa_pastel,dulces,cocina,barra,area_fotos,animador,menu_infantil
02/07/26,5,120,2,1,10,10,0,mama,red,no,no,no,no,no,si,no,no
02/07/26,5,120,5,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/07/26,5,120,2,2,10,10,0,mama,red,no,no,no,no,no,si,no,no
02/07/26,5,120,5,2,10,10,0,pastel,pink,no,no,no,no,no,si,no,no
02/07/26,5,120,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/07/26,5,120,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/07/26,5,120,2,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/07/26,5,120,3,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/07/26,5,120,4,4,10,10,0,tios,green,no,no,no,no,no,si,no,no
02/07/26,5,120,5,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/07/26,5,120,3,5,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/07/26,5,120,4,5,5,5,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,1,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,2,1,10,10,0,mama,red,no,no,no,no,no,si,no,no
02/14/26,6,160,5,1,10,10,0,abuelo,blue,no,no,no,no,no,si,no,no
02/14/26,6,160,6,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,2,2,10,10,0,mama,red,no,no,no,no,no,si,no,no
02/14/26,6,160,5,2,10,10,0,pastel,pink,no,no,no,no,no,si,no,no
02/14/26,6,160,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,2,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,3,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,4,4,10,10,0,brindis,yellow,no,no,no,no,no,si,no,no
02/14/26,6,160,5,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,2,5,8,8,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,3,5,10,10,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,4,5,8,8,0,,lightgray,no,no,no,no,no,si,no,no
02/14/26,6,160,5,5,8,8,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,1,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,2,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,5,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,6,1,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,1,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,2,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,5,2,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,2,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,3,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,4,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,5,3,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,2,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,3,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,4,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/06/26,2,152,5,4,10,10,0,,lightgray,no,no,no,no,no,si,no,no
03/07/26,6,166,2,1,10,10,0,abuela,red,no,no,no,no,no,si,no,no
